,Rank,Player Name,Team,Successful,Errors,Attempts,Average per match,Success %,Total,Year
97,43,Schott,GER,0,3,41,0.00,0.00,44,2021
98,43,Kaliberda,GER,0,0,14,0.00,0.00,14,2021
99,43,Böhme,GER,0,0,0,,,0,2021
100,43,Hirsch,GER,0,0,11,0.00,0.00,11,2021
101,43,Baxpöhler,GER,0,1,0,0.00,0.00,1,2021
102,43,Krage,GER,0,0,2,0.00,0.00,2,2021
103,43,Weber,GER,0,0,5,0.00,0.00,5,2021
104,43,Krick,GER,0,1,2,0.00,0.00,3,2021
105,43,Graham,AUS,0,2,12,0.00,0.00,14,2021
106,43,Weir,AUS,0,0,5,0.00,0.00,5,2021
107,43,O'Dea,AUS,0,0,14,0.00,0.00,14,2021
108,43,Perry,AUS,0,0,134,0.00,0.00,134,2021
109,43,Taylor,AUS,0,0,3,0.00,0.00,3,2021
110,43,Garrett,AUS,0,1,9,0.00,0.00,10,2021
111,43,Aubrey,AUS,0,0,0,,,0,2021
112,43,Flowerday,AUS,0,0,0,,,0,2021
113,43,Greber,AUS,0,0,0,,,0,2021
114,43,Onodera,JPN,0,0,3,0.00,0.00,3,2021
115,43,Fukuzawa,JPN,0,0,5,0.00,0.00,5,2021
116,43,Yamauchi,JPN,0,1,10,0.00,0.00,11,2021
117,43,Lee,JPN,0,0,2,0.00,0.00,2,2021
118,43,Kentaro,JPN,0,0,3,0.00,0.00,3,2021
119,43,Takanashi,JPN,0,0,16,0.00,0.00,16,2021
120,43,Otsuka,JPN,0,0,10,0.00,0.00,10,2021
121,43,Yamamoto,JPN,0,0,34,0.00,0.00,34,2021
122,43,Ogawa,JPN,0,0,21,0.00,0.00,21,2021
123,43,Milad,IRI,0,0,29,0.00,0.00,29,2021
124,43,Reza,IRI,0,0,3,0.00,0.00,3,2021
125,43,Seyed,IRI,0,1,17,0.00,0.00,18,2021
126,43,Hazrat,IRI,0,0,28,0.00,0.00,28,2021
127,43,Kazemi,IRI,0,0,10,0.00,0.00,10,2021
128,43,Mojarad,IRI,0,0,4,0.00,0.00,4,2021
129,43,A. Shafiei,IRI,0,0,0,,,0,2021
130,43,Salehi,IRI,0,1,12,0.00,0.00,13,2021
131,43,Arman,IRI,0,1,57,0.00,0.00,58,2021
132,43,Esfandiar,IRI,0,1,3,0.00,0.00,4,2021
133,43,Kovačević,SRB,0,0,26,0.00,0.00,26,2021
134,43,Kapur,SRB,0,0,7,0.00,0.00,7,2021
135,43,Pekovic,SRB,0,1,64,0.00,0.00,65,2021
136,43,Krsmanović,SRB,0,1,23,0.00,0.00,24,2021
137,43,Perić,SRB,0,0,4,0.00,0.00,4,2021
138,43,Simic,SRB,0,0,1,0.00,0.00,1,2021
139,43,Atanasijević,SRB,0,0,16,0.00,0.00,16,2021
140,43,Luburić,SRB,0,0,13,0.00,0.00,13,2021
141,43,Podraščanin,SRB,0,0,20,0.00,0.00,20,2021
142,43,Lisinac,SRB,0,0,1,0.00,0.00,1,2021
143,43,Kovač,SRB,0,0,3,0.00,0.00,3,2021
144,43,T. Štern,SLO,0,0,20,0.00,0.00,20,2021
145,43,Pajenk,SLO,0,0,13,0.00,0.00,13,2021
146,43,Gasparini,SLO,0,0,3,0.00,0.00,3,2021
