,Rank,Player Name,Team,Points,Errors,Attemps,Average per match,Success %,Total,Year
96,18,Kocic,SRB,4,7,155,0.27,2.41,166,2021
97,18,Kästner,GER,4,1,59,0.27,6.25,64,2021
98,18,Goncharova,RUS,4,7,119,0.29,3.08,130,2021
99,18,Fetisova,RUS,4,10,140,0.29,2.60,154,2021
100,18,Okumura,JPN,4,1,55,0.27,6.67,60,2021
101,18,Wang Y.Y.,CHN,4,7,95,0.27,3.77,106,2021
102,18,Duan F.,CHN,4,4,61,0.44,5.80,69,2021
103,18,Jeongah,KOR,4,24,86,0.27,3.51,114,2021
104,18,Martinez,DOM,4,14,69,0.27,4.60,87,2021
105,18,Guerra,ITA,4,10,71,0.29,4.71,85,2021
106,18,Mingardi,ITA,4,15,66,0.31,4.71,85,2021
107,18,Güneş,TUR,4,9,52,0.57,6.15,65,2021
108,19,M. Jasper,NED,3,4,59,0.20,4.55,66,2021
109,19,Scholten,NED,3,2,47,0.23,5.77,52,2021
110,19,Boz,TUR,3,11,55,0.18,4.35,69,2021
111,19,Markovic,SRB,3,6,43,0.25,5.77,52,2021
112,19,Janiska,GER,3,5,41,0.75,6.12,49,2021
113,19,Vanjak,GER,3,6,27,0.30,8.33,36,2021
114,19,Startseva,RUS,3,10,91,0.23,2.88,104,2021
115,19,Kapustina,RUS,3,7,22,0.38,9.38,32,2021
116,19,Shimamura,JPN,3,5,83,0.21,3.30,91,2021
117,19,Diao L.Y.,CHN,3,4,32,0.33,7.69,39,2021
118,19,Gao Y.,CHN,3,0,29,0.33,9.38,32,2021
119,19,Hyejin,KOR,3,3,39,0.43,6.67,45,2021
120,19,Yang Hyo Jin,KOR,3,9,119,0.20,2.29,131,2021
121,19,Peña Isabel,DOM,3,11,124,0.20,2.17,138,2021
122,19,Carlini,USA,3,0,24,0.50,11.11,27,2021
123,19,Smarzek,POL,3,8,82,0.25,3.23,93,2021
124,19,Joseph,CAN,3,6,39,0.20,6.25,48,2021
125,19,Stigrot,GER,3,1,38,0.25,7.14,42,2021
126,19,Ogbogu,USA,3,17,39,0.27,5.08,59,2021
127,19,Nabeya,JPN,3,3,38,0.23,6.82,44,2021
128,19,Gong X.Y.,CHN,3,5,74,0.50,3.66,82,2021
129,19,Yan N.,CHN,3,1,64,0.60,4.41,68,2021
130,19,Wenerska,POL,3,8,79,0.50,3.33,90,2021
131,20,Baijens,NED,2,11,19,0.25,6.25,32,2021
132,20,Sobolska,POL,2,8,39,0.13,4.08,49,2021
133,20,Stragier,BEL,2,8,34,0.13,4.55,44,2021
134,20,Ercan,TUR,2,3,38,0.12,4.65,43,2021
135,20,Güveli,TUR,2,1,24,0.25,7.41,27,2021
136,20,Kalaç,TUR,2,5,51,0.14,3.45,58,2021
137,20,Caric,SRB,2,13,83,0.22,2.04,98,2021
138,20,Delic,SRB,2,2,24,0.13,7.14,28,2021
139,20,Brovkina,RUS,2,1,41,0.13,4.55,44,2021
140,20,Lazareva E.,RUS,2,2,22,0.25,7.69,26,2021
141,20,Yamada,JPN,2,2,61,0.13,3.08,65,2021
142,20,Hayashi,JPN,2,5,39,0.12,4.35,46,2021
143,20,C.Sutadta,THA,2,3,121,0.13,1.59,126,2021
144,20,Yang H.Y.,CHN,2,11,86,0.14,2.02,99,2021
145,20,Yao D.,CHN,2,6,103,0.13,1.80,111,2021
146,20,Zheng Y.X.,CHN,2,1,12,0.22,13.33,15,2021
147,20,Dain,KOR,2,8,59,0.15,2.90,69,2021
148,20,Valdez,DOM,2,13,47,0.17,3.23,62,2021
149,20,Eve,DOM,2,11,82,0.14,2.11,95,2021
150,20,Plummer,USA,2,6,14,0.40,9.09,22,2021
151,20,Dixon,USA,2,7,34,0.15,4.65,43,2021
152,20,Parsons,USA,2,2,26,0.18,6.67,30,2021
153,20,Melli,ITA,2,6,93,0.13,1.98,101,2021
154,20,Omoruyi,ITA,2,2,47,0.13,3.92,51,2021
155,20,Adenizia,BRA,2,0,22,0.17,8.33,24,2021
156,20,Sheilla,BRA,2,3,7,0.17,16.67,12,2021
157,20,Livingston,CAN,2,5,25,0.14,6.25,32,2021
158,20,N.Chatsuda,THA,2,2,20,0.14,8.33,24,2021
159,20,Mayany,BRA,2,5,26,0.17,6.06,33,2021
160,20,Rosamaria,BRA,2,3,18,0.14,8.70,23,2021
161,20,Pipunyrova,RUS,2,5,6,0.20,15.38,13,2021
162,20,Zhu T.,CHN,2,0,42,0.33,4.55,44,2021
163,20,Piva,ITA,2,8,28,0.33,5.26,38,2021
164,21,Korevaar,NED,1,1,30,0.07,3.12,32,2021
165,21,Van Sas,BEL,1,2,10,0.08,7.69,13,2021
166,21,Uzelac,SRB,1,5,40,0.07,2.17,46,2021
167,21,Djordjevic,SRB,1,13,42,0.07,1.79,56,2021
168,21,Bock,GER,1,2,7,0.07,10.00,10,2021
