,Rank,Player Name,Team,Succesful,Errors,Attemps,Average per match,Success %,Total,Year
97,64,Mote,AUS,11,0,10,0.79,52.38,21,2021
98,64,Kovač,SRB,11,4,25,0.73,27.50,40,2021
99,64,B. Sander,USA,11,6,19,1.00,30.56,36,2021
100,65,Chinenyeze,FRA,10,1,3,0.59,71.43,14,2021
101,65,Lyutskanov,BUL,10,3,29,1.11,23.81,42,2021
102,66,Krsmanović,SRB,9,1,8,0.60,50.00,18,2021
103,66,Semyshev,RUS,9,2,18,1.12,31.03,29,2021
104,67,Onodera,JPN,8,0,5,0.62,61.54,13,2021
105,67,P. Fayazi,IRI,8,5,25,0.73,21.05,38,2021
106,67,Maique,BRA,8,0,10,0.47,44.44,18,2021
107,68,Pajenk,SLO,7,1,12,0.41,35.00,20,2021
108,68,Sole,ITA,7,0,6,0.64,53.85,13,2021
109,68,Ramos,ARG,7,1,5,0.47,53.85,13,2021
110,69,Kozamernik,SLO,6,0,11,0.38,35.29,17,2021
111,69,Watten,USA,6,2,15,0.55,26.09,23,2021
112,69,Stahl,USA,6,0,3,0.46,66.67,9,2021
113,70,Sossenheimer,GER,5,3,35,0.42,11.63,43,2021
114,70,M.Gholami,IRI,5,0,2,0.33,71.43,7,2021
115,70,Mikhaylov,RUS,5,0,16,0.36,23.81,21,2021
116,70,Isac,BRA,5,0,2,0.31,71.43,7,2021
117,71,Karyagin,BUL,4,11,36,0.27,7.84,51,2021
118,71,O'Dea,AUS,4,2,8,0.27,28.57,14,2021
119,71,Yamauchi,JPN,4,0,10,0.27,28.57,14,2021
120,71,Lee,JPN,4,2,2,0.27,50.00,8,2021
121,71,Seyed,IRI,4,1,10,0.29,26.67,15,2021
122,71,van Schie,NED,4,5,22,0.33,12.90,31,2021
123,71,Smith,USA,4,0,4,0.29,50.00,8,2021
124,71,Jansen Vandoorn,CAN,4,0,7,0.27,36.36,11,2021
125,71,Szwarc,CAN,4,1,3,0.27,50.00,8,2021
126,71,Federici,ITA,4,2,9,0.27,26.67,15,2021
127,71,Van Berkel,CAN,4,1,12,0.29,23.53,17,2021
128,72,Bultor,FRA,3,1,3,0.18,42.86,7,2021
129,72,Grozdanov,BUL,3,0,2,1.00,60.00,5,2021
130,72,Podraščanin,SRB,3,0,6,0.20,33.33,9,2021
131,72,Nimir,NED,3,2,1,0.25,50.00,6,2021
132,72,Parkinson,NED,3,2,8,0.23,23.08,13,2021
133,72,Volvich,RUS,3,2,6,0.20,27.27,11,2021
134,72,Mosca,ITA,3,1,10,0.21,21.43,14,2021
135,72,Nicolas,ARG,3,1,11,0.60,20.00,15,2021
136,72,Douglas-Powell,AUS,3,1,2,3.00,50.00,6,2021
137,73,Chavdarov,BUL,2,0,6,0.15,25.00,8,2021
138,73,Krage,GER,2,3,4,0.15,22.22,9,2021
139,73,Weber,GER,2,0,0,0.15,100.00,2,2021
140,73,Krick,GER,2,1,7,0.14,20.00,10,2021
141,73,Shimizu,JPN,2,1,6,0.15,22.22,9,2021
142,73,Wiltenburg,NED,2,2,6,0.14,20.00,10,2021
143,73,Holt,USA,2,0,3,0.17,40.00,5,2021
144,73,Vigrass,CAN,2,1,2,0.25,40.00,5,2021
145,73,Kurek,POL,2,0,4,0.18,33.33,6,2021
146,73,Bieniek,POL,2,0,2,0.15,50.00,4,2021
147,73,Vaccari,BRA,2,0,2,0.20,50.00,4,2021
148,73,Flavio,BRA,2,2,4,0.12,25.00,8,2021
149,73,Jendryk,USA,2,0,5,0.15,28.57,7,2021
150,73,Alan,BRA,2,0,2,0.12,50.00,4,2021
151,73,Loser Bruno,ARG,2,2,10,0.17,14.29,14,2021
152,73,M. Souza,BRA,2,0,6,0.15,25.00,8,2021
153,74,Le Goff,FRA,1,0,4,0.06,20.00,5,2021
154,74,Kartev,BUL,1,1,1,0.08,33.33,3,2021
155,74,Hirsch,GER,1,1,1,0.07,33.33,3,2021
156,74,Graham,AUS,1,3,3,0.07,14.29,7,2021
157,74,Weir,AUS,1,1,1,0.07,33.33,3,2021
158,74,A.Ghafour,IRI,1,0,4,0.20,20.00,5,2021
159,74,Klobucar,SLO,1,1,3,0.08,20.00,5,2021
160,74,van Zeist,NED,1,0,4,0.08,20.00,5,2021
161,74,van Tilburg,NED,1,2,6,0.07,11.11,9,2021
162,74,Kurkaev,RUS,1,0,4,0.07,20.00,5,2021
163,74,Ensing,USA,1,0,1,0.07,50.00,2,2021
164,74,Vernon,CAN,1,0,5,0.07,16.67,6,2021
165,74,Huber,POL,1,1,0,0.08,50.00,2,2021
166,74,Galassi,ITA,1,1,1,0.12,33.33,3,2021
167,74,Nelli,ITA,1,0,0,0.08,100.00,1,2021
168,74,Cortesia,ITA,1,0,3,0.07,25.00,4,2021
169,74,Wallace,BRA,1,0,7,0.06,12.50,8,2021
170,74,Plak,NED,1,0,6,0.08,14.29,7,2021
171,74,Kaczmarek,POL,1,0,1,0.08,50.00,2,2021
172,74,Gardini,ITA,1,4,8,0.08,7.69,13,2021
173,74,Vitelli,ITA,1,0,3,0.09,25.00,4,2021
174,74,Lima B.,ARG,1,0,1,0.14,50.00,2,2021
175,75,Patry,FRA,0,0,0,,,0,2021
176,75,Toniutti,FRA,0,0,1,0.00,0.00,1,2021
177,75,Brizard,FRA,0,0,6,0.00,0.00,6,2021
178,75,Boyer,FRA,0,0,2,0.00,0.00,2,2021
179,75,Gueye,FRA,0,0,1,0.00,0.00,1,2021
180,75,Kolev,BUL,0,0,9,0.00,0.00,9,2021
181,75,Seganov,BUL,0,1,3,0.00,0.00,4,2021
182,75,Stankov,BUL,0,0,0,,,0,2021
183,75,Sokolov,BUL,0,0,3,0.00,0.00,3,2021
184,75,Parapunov,BUL,0,1,1,0.00,0.00,2,2021
185,75,Böhme,GER,0,0,3,0.00,0.00,3,2021
186,75,Baxpöhler,GER,0,0,1,0.00,0.00,1,2021
187,75,Burggräf,GER,0,0,1,0.00,0.00,1,2021
188,75,Zimmermann,GER,0,1,7,0.00,0.00,8,2021
189,75,Dosanjh,AUS,0,0,5,0.00,0.00,5,2021
190,75,Butler,AUS,0,0,0,,,0,2021
191,75,Aubrey,AUS,0,1,0,0.00,0.00,1,2021
192,75,Flowerday,AUS,0,1,0,0.00,0.00,1,2021
193,75,Greber,AUS,0,0,0,,,0,2021
194,75,Fujii,JPN,0,0,1,0.00,0.00,1,2021
195,75,Sekita,JPN,0,0,6,0.00,0.00,6,2021
196,75,Kentaro,JPN,0,0,2,0.00,0.00,2,2021
197,75,Reza,IRI,0,0,1,0.00,0.00,1,2021
198,75,Kazemi,IRI,0,1,5,0.00,0.00,6,2021
199,75,Mojarad,IRI,0,1,5,0.00,0.00,6,2021
200,75,A. Shafiei,IRI,0,1,1,0.00,0.00,2,2021
201,75,Vadi,IRI,0,0,1,0.00,0.00,1,2021
202,75,Kapur,SRB,0,0,0,,,0,2021
203,75,Jovović,SRB,0,1,5,0.00,0.00,6,2021
204,75,Batak,SRB,0,0,0,,,0,2021
205,75,Simic,SRB,0,0,3,0.00,0.00,3,2021
206,75,Atanasijević,SRB,0,1,1,0.00,0.00,2,2021
207,75,Luburić,SRB,0,0,0,,,0,2021
208,75,Lisinac,SRB,0,0,1,0.00,0.00,1,2021
209,75,T. Štern,SLO,0,0,1,0.00,0.00,1,2021
210,75,Gasparini,SLO,0,0,0,,,0,2021
211,75,Vinčić,SLO,0,1,0,0.00,0.00,1,2021
212,75,Štalekar,SLO,0,0,2,0.00,0.00,2,2021
213,75,Videčnik,SLO,0,0,1,0.00,0.00,1,2021
214,75,Ropret,SLO,0,0,3,0.00,0.00,3,2021
215,75,Van Der Ent,NED,0,1,1,0.00,0.00,2,2021
216,75,Van Solkema,NED,0,1,2,0.00,0.00,3,2021
217,75,De Weijer,NED,0,1,6,0.00,0.00,7,2021
218,75,Vlasov,RUS,0,0,8,0.00,0.00,8,2021
219,75,Pankov,RUS,0,0,2,0.00,0.00,2,2021
220,75,Poletaev,RUS,0,0,1,0.00,0.00,1,2021
221,75,Kobzar,RUS,0,0,5,0.00,0.00,5,2021
222,75,K. Shoji,USA,0,0,0,,,0,2021
223,75,Hanes,USA,0,0,0,,,0,2021
224,75,Christenson,USA,0,0,2,0.00,0.00,2,2021
225,75,Patch,USA,0,0,1,0.00,0.00,1,2021
226,75,Averill,USA,0,0,1,0.00,0.00,1,2021
227,75,Pereira,CAN,0,0,0,,,0,2021
228,75,Blankenau,CAN,0,1,4,0.00,0.00,5,2021
229,75,Sclater,CAN,0,0,2,0.00,0.00,2,2021
230,75,Walsh,CAN,0,0,1,0.00,0.00,1,2021
231,75,Demyanenko,CAN,0,0,0,,,0,2021
232,75,Muzaj,POL,0,1,1,0.00,0.00,2,2021
233,75,Drzyzga,POL,0,0,3,0.00,0.00,3,2021
234,75,Łomacz,POL,0,1,0,0.00,0.00,1,2021
235,75,Kochanowski,POL,0,0,4,0.00,0.00,4,2021
236,75,Kłos,POL,0,0,2,0.00,0.00,2,2021
237,75,Sbertoli,ITA,0,0,4,0.00,0.00,4,2021
238,75,Spirito,ITA,0,0,1,0.00,0.00,1,2021
239,75,Pinali,ITA,0,1,2,0.00,0.00,3,2021
240,75,Scanferla,ITA,0,0,0,,,0,2021
241,75,Bruno,BRA,0,0,1,0.00,0.00,1,2021
242,75,Fernando,BRA,0,0,2,0.00,0.00,2,2021
243,75,Matheus,BRA,0,1,0,0.00,0.00,1,2021
244,75,Roque,BRA,0,0,0,,,0,2021
245,75,Pereyra L.,ARG,0,0,1,0.00,0.00,1,2021
246,75,Uriarte,ARG,0,0,1,0.00,0.00,1,2021
247,75,De Cecco,ARG,0,2,5,0.00,0.00,7,2021
248,75,Palonsky,ARG,0,1,2,0.00,0.00,3,2021
249,75,Saadat,IRI,0,0,0,,,0,2021
250,75,Macdonald,AUS,0,0,0,,,0,2021
251,75,Janusz,POL,0,0,0,,,0,2021
252,75,Vucicevic,SRB,0,0,0,,,0,2021
253,75,Šket,SLO,0,0,0,,,0,2021
254,75,Meyer,FRA,0,0,0,,,0,2021
255,75,S. Marouf,IRI,0,1,5,0.00,0.00,6,2021
256,75,Röhrs,GER,0,2,11,0.00,0.00,13,2021
257,75,Otake,JPN,0,0,0,,,0,2021
258,75,Oya,JPN,0,0,0,,,0,2021
259,75,Tuaniga,USA,0,0,1,0.00,0.00,1,2021
260,75,Todorović,SRB,0,0,2,0.00,0.00,2,2021
261,75,Crer,ARG,0,0,1,0.00,0.00,1,2021
262,75,TJ,CAN,0,0,1,0.00,0.00,1,2021
263,75,Keemink,NED,0,1,1,0.00,0.00,2,2021
264,75,Pernuš,SLO,0,0,0,,,0,2021
265,75,Nowakowski,POL,0,0,1,0.00,0.00,1,2021
266,75,V.Stankov,BUL,0,0,2,0.00,0.00,2,2021
267,75,Muserskiy,RUS,0,1,0,0.00,0.00,1,2021
268,75,Faure,FRA,0,0,0,,,0,2021
