,Rank,Player Name,Team,Succesful,Errors,Attemps,Average per match,Success %,Total,Year
96,64,C.Tapaphaipun,THA,11,2,29,0.79,26.19,42,2021
97,64,Martinez,DOM,11,4,37,0.73,21.15,52,2021
98,65,Czyrniańska,POL,10,2,38,0.71,20.00,50,2021
99,66,Kapustina,RUS,9,3,20,1.12,28.12,32,2021
100,66,Nabeya,JPN,9,1,10,0.69,45.00,20,2021
101,66,Podkopaeva,RUS,9,2,52,1.50,14.29,63,2021
102,67,Cvetkovic,SRB,8,3,18,0.89,27.59,29,2021
103,68,Shimamura,JPN,7,1,3,0.50,63.64,11,2021
104,68,N.Chatsuda,THA,7,2,24,0.50,21.21,33,2021
105,68,Zhu T.,CHN,7,1,17,1.17,28.00,25,2021
106,69,Demeyer,BEL,6,1,5,0.40,50.00,12,2021
107,69,Rosamaria,BRA,6,0,13,0.43,31.58,19,2021
108,70,Dambrink,NED,5,1,3,0.56,55.56,9,2021
109,70,Seoyoung,KOR,5,4,19,0.38,17.86,28,2021
110,71,Erdem,TUR,4,0,5,0.24,44.44,9,2021
111,71,Schölzel,GER,4,2,3,0.27,44.44,9,2021
112,71,Araki,JPN,4,0,4,0.24,50.00,8,2021
113,71,Songyi,KOR,4,0,0,0.27,100.00,4,2021
114,71,Maglio,CAN,4,0,8,0.29,33.33,12,2021
115,72,Knip,NED,3,0,6,0.25,33.33,9,2021
116,72,Timmerman,NED,3,0,5,0.20,37.50,8,2021
117,72,Pattiya,THA,3,0,7,0.21,30.00,10,2021
118,72,Yang H.Y.,CHN,3,0,1,0.21,75.00,4,2021
119,72,Smarzek,POL,3,2,16,0.25,14.29,21,2021
120,72,Carol Gattaz,BRA,3,0,10,0.20,23.08,13,2021
121,72,Ana Cristina,BRA,3,3,5,0.27,27.27,11,2021
122,72,Snape,CAN,3,2,11,0.25,18.75,16,2021
123,72,Yuan X.Y.,CHN,3,0,5,0.50,37.50,8,2021
124,72,Yan N.,CHN,3,0,3,0.60,50.00,6,2021
125,73,Van Avermaet,BEL,2,2,1,0.13,40.00,5,2021
126,73,Fetisova,RUS,2,0,9,0.14,18.18,11,2021
127,73,T.Pleumjit,THA,2,0,9,0.13,18.18,11,2021
128,73,Yang Hyo Jin,KOR,2,0,0,0.13,100.00,2,2021
129,73,Korneluk,POL,2,1,0,0.18,66.67,3,2021
130,73,Efimienko,POL,2,2,3,0.15,28.57,7,2021
131,74,Baijens,NED,1,1,1,0.12,33.33,3,2021
132,74,Sobolska,POL,1,1,1,0.07,33.33,3,2021
133,74,Stragier,BEL,1,0,4,0.07,20.00,5,2021
134,74,Akman,TUR,1,1,1,0.06,33.33,3,2021
135,74,Karakurt,TUR,1,0,0,0.06,100.00,1,2021
136,74,Caric,SRB,1,1,3,0.11,20.00,5,2021
137,74,Kocic,SRB,1,0,5,0.07,16.67,6,2021
138,74,Markovic,SRB,1,0,2,0.08,33.33,3,2021
139,74,Vanjak,GER,1,1,1,0.10,33.33,3,2021
140,74,Ambrosius,GER,1,0,0,0.20,100.00,1,2021
141,74,Weitzel,GER,1,0,8,0.07,11.11,9,2021
142,74,Koroleva,RUS,1,1,5,0.07,14.29,7,2021
143,74,Brovkina,RUS,1,0,0,0.07,100.00,1,2021
144,74,Yamada,JPN,1,0,5,0.07,16.67,6,2021
145,74,Seki,JPN,1,0,1,0.12,50.00,2,2021
146,74,H.Amporn,THA,1,1,3,0.08,20.00,5,2021
147,74,K.Karina,THA,1,2,3,0.07,16.67,6,2021
148,74,Jiyun J.,KOR,1,0,1,0.07,50.00,2,2021
149,74,Valdez,DOM,1,1,1,0.08,33.33,3,2021
150,74,Rodriguez,DOM,1,0,1,0.07,50.00,2,2021
151,74,Larysmer,DOM,1,0,7,0.07,12.50,8,2021
152,74,Tapp,USA,1,0,0,0.08,100.00,1,2021
153,74,Akinradewo,USA,1,1,2,0.07,25.00,4,2021
154,74,Różański,POL,1,2,14,0.08,5.88,17,2021
155,74,Nyeme,BRA,1,0,4,0.06,20.00,5,2021
156,74,Ana Beatriz,BRA,1,0,5,0.07,16.67,6,2021
