,Rank,Player Name,Team,Points,Errors,Attempts,Average per match,Success %,Total,Year
85,61,Bultor,FRA,52,15,25,3.06,56.52,92,2021
86,62,Le Goff,FRA,51,13,30,3.00,54.26,94,2021
87,62,van Tilburg,NED,51,22,52,3.40,40.80,125,2021
88,62,Martinez Franchi,ARG,51,13,57,4.25,42.15,121,2021
89,62,Azeez,AUS,51,24,59,4.25,38.06,134,2021
90,63,Krage,GER,50,14,26,3.85,55.56,90,2021
91,63,Vlasov,RUS,50,4,30,3.33,59.52,84,2021
92,63,Ramos,ARG,50,10,23,3.33,60.24,83,2021
93,64,Onodera,JPN,49,8,42,3.77,49.49,99,2021
94,64,Parkinson,NED,49,5,16,3.77,70.00,70,2021
95,64,Galassi,ITA,49,3,17,6.12,71.01,69,2021
96,64,Cortesia,ITA,49,6,32,3.50,56.32,87,2021
97,64,Otake,JPN,49,14,35,8.17,50.00,98,2021
98,65,Kaczmarek,POL,48,16,42,4.00,45.28,106,2021
99,66,Rossard T,FRA,47,15,34,4.70,48.96,96,2021
100,66,Kolev,BUL,47,6,28,3.13,58.02,81,2021
101,66,Kaliberda,GER,47,12,44,3.62,45.63,103,2021
102,66,Szwarc,CAN,47,14,22,3.13,56.63,83,2021
103,66,Mosca,ITA,47,9,28,3.36,55.95,84,2021
104,67,Plak,NED,46,10,23,3.54,58.23,79,2021
105,68,Atanasov,BUL,45,27,56,3.00,35.16,128,2021
106,68,Yamauchi,JPN,45,8,34,3.00,51.72,87,2021
107,68,Kochanowski,POL,45,9,19,3.75,61.64,73,2021
108,68,Cavuto,ITA,45,18,35,3.00,45.92,98,2021
109,68,Flavio,BRA,45,14,32,2.65,49.45,91,2021
110,68,Poglajen,ARG,45,15,51,4.09,40.54,111,2021
111,69,Perić,SRB,44,17,31,2.93,47.83,92,2021
112,70,Louati,FRA,43,17,55,3.31,37.39,115,2021
113,70,Jaeschke,USA,43,14,45,3.58,42.16,102,2021
114,70,T. Sander,USA,43,9,28,7.17,53.75,80,2021
115,71,Smith,USA,42,10,26,3.00,53.85,78,2021
116,72,M.Gholami,IRI,41,9,26,2.73,53.95,76,2021
117,72,Śliwka,POL,41,8,38,2.73,47.13,87,2021
