,Rank,Player Name,Team,Points,Errors,Attempts,Average per match,Success %,Total,Year
423,85,Grozdanov,BUL,15,3,16,3.75,44.12,34,2022
424,85,Derouillon,FRA,15,4,12,1.07,48.39,31,2022
425,85,Stahl,USA,15,2,10,1.36,55.56,27,2022
426,86,Cooper,CAN,14,5,12,2.00,45.16,31,2022
427,87,Keemink,NED,13,2,6,1.00,61.90,21,2022
428,87,Parkinson,NED,13,3,5,1.00,61.90,21,2022
429,87,Szymura R.,POL,13,5,12,3.25,43.33,30,2022
430,87,Vucicevic,SRB,13,11,14,3.25,34.21,38,2022
431,88,Jiang Z.Y.,CHN,12,1,5,1.20,66.67,18,2022
432,88,Mitchem,USA,12,1,5,0.80,66.67,18,2022
433,88,Barnes,CAN,12,8,14,1.00,35.29,34,2022
434,89,Zhang B.L.,CHN,11,7,6,1.10,45.83,24,2022
435,89,Tuaniga,USA,11,3,8,0.73,50.00,22,2022
436,89,Marinovic,SRB,11,11,9,2.75,35.48,31,2022
437,89,Lipinski,POL,11,5,12,2.75,39.29,28,2022
438,90,Schulz,GER,10,8,8,1.25,38.46,26,2022
439,90,Henry,FRA,10,3,11,0.71,41.67,24,2022
440,90,Cortesia,ITA,10,1,10,0.91,47.62,21,2022
441,91,Bošnjak,SLO,9,4,5,1.12,50.00,18,2022
442,91,Seganov,BUL,9,3,7,0.75,47.37,19,2022
443,91,Mosca,ITA,9,2,1,1.50,75.00,12,2022
444,91,Krsmanović,SRB,9,3,6,1.12,50.00,18,2022
445,91,Christenson,USA,9,0,7,1.29,56.25,16,2022
446,92,Yu Y.C.,CHN,8,0,4,0.80,66.67,12,2022
447,92,Vadi,IRI,8,0,5,0.62,61.54,13,2022
448,92,Kessel,USA,8,3,9,0.73,40.00,20,2022
449,92,S.Ivanov,BUL,8,5,3,0.67,50.00,16,2022
450,92,Vitelli,ITA,8,2,6,2.00,50.00,16,2022
451,93,Kazemi,IRI,7,7,11,1.75,28.00,25,2022
452,93,Jovović,SRB,7,1,3,0.58,63.64,11,2022
453,93,Peter,GER,7,5,1,0.64,53.85,13,2022
454,93,Vaccari,BRA,7,3,5,1.75,46.67,15,2022
455,93,Petric,SRB,7,4,8,0.88,36.84,19,2022
456,94,Mehrab,IRI,5,1,4,0.38,50.00,10,2022
457,94,Klobucar,SLO,5,2,10,0.62,29.41,17,2022
458,94,Walsh,CAN,5,1,7,0.62,38.46,13,2022
459,94,Bruno,BRA,5,0,4,0.38,55.56,9,2022
460,94,Sanchez Pages,ARG,5,2,4,0.42,45.45,11,2022
461,94,Amir Reza,IRI,5,2,2,0.56,55.56,9,2022
462,95,Ropret,SLO,4,1,3,0.33,50.00,8,2022
463,95,Wilson,CAN,4,1,2,0.50,57.14,7,2022
464,95,Zimmermann,GER,4,1,9,0.36,28.57,14,2022
465,95,Sekita,JPN,4,0,3,0.31,57.14,7,2022
466,95,Tomita,JPN,4,4,10,0.50,22.22,18,2022
467,95,Flowerday,AUS,4,9,3,0.33,25.00,16,2022
468,95,Giraudo,ARG,4,1,1,0.50,66.67,6,2022
469,95,Saadat,IRI,4,0,4,0.44,50.00,8,2022
470,96,Videčnik,SLO,3,2,1,0.38,50.00,6,2022
471,96,Eiro,JPN,3,1,1,0.75,60.00,5,2022
472,96,Van Der Ent,NED,3,1,9,0.23,23.08,13,2022
473,96,Franco,BRA,3,1,3,0.75,42.86,7,2022
474,96,Urbanowicz,POL,3,2,3,0.75,37.50,8,2022
475,96,Firlej,POL,3,0,3,0.38,50.00,6,2022
476,96,Vinčić,SLO,3,0,4,0.38,42.86,7,2022
477,96,Oya,JPN,3,1,1,0.33,60.00,5,2022
478,97,Reza,IRI,2,2,0,0.67,50.00,4,2022
479,97,Esi,IRI,2,1,2,0.25,40.00,5,2022
480,97,Shaw,USA,2,1,2,0.25,40.00,5,2022
481,97,D. Dimitrov,BUL,2,2,2,0.17,33.33,6,2022
482,97,Nikolic,SRB,2,0,2,0.50,50.00,4,2022
483,97,Blankenau,CAN,2,0,2,0.25,50.00,4,2022
484,97,Butler,AUS,2,0,4,0.17,33.33,6,2022
485,97,Tillie,FRA,2,2,3,0.50,28.57,7,2022
486,97,Epp,CAN,2,1,2,0.33,40.00,5,2022
487,97,De Cecco,ARG,2,2,4,0.50,25.00,8,2022
488,98,Liu M.,CHN,1,0,2,0.25,33.33,3,2022
489,98,Wang H.B.,CHN,1,0,1,0.10,50.00,2,2022
490,98,Yuan D.Y.,CHN,1,0,4,0.10,20.00,5,2022
491,98,Miao R.T.,CHN,1,0,2,0.10,33.33,3,2022
492,98,A. Ramezani,IRI,1,0,2,0.12,33.33,3,2022
493,98,Todorović,SRB,1,0,0,0.12,100.00,1,2022
494,98,Tille,GER,1,1,0,0.14,50.00,2,2022
495,98,Ferch,GER,1,0,0,0.09,100.00,1,2022
496,98,Fernando,BRA,1,1,0,0.08,50.00,2,2022
497,98,Leandro,BRA,1,0,0,0.08,100.00,1,2022
498,98,Kozub,POL,1,0,0,0.25,100.00,1,2022
499,98,Corre,FRA,1,0,1,0.14,50.00,2,2022
500,98,Štalekar,SLO,1,0,4,0.25,20.00,5,2022
501,98,Janusz,POL,1,0,2,0.09,33.33,3,2022
502,98,Vulikic,SRB,1,0,2,0.25,33.33,3,2022
503,98,Dervisaj,GER,1,0,0,0.25,100.00,1,2022
504,98,Daneshdoust,IRI,1,0,0,0.20,100.00,1,2022
505,99,Yang Y.M.,CHN,0,0,0,,,0,2022
506,99,Yang T.Y.,CHN,0,0,0,,,0,2022
507,99,Hazrat,IRI,0,0,0,,,0,2022
508,99,M.R.Moazzen,IRI,0,0,0,,,0,2022
509,99,Planinšič,SLO,0,0,0,,,0,2022
510,99,Košenina,SLO,0,0,0,,,0,2022
511,99,Kovačič,SLO,0,0,0,,,0,2022
512,99,Pasteur,USA,0,0,0,,,0,2022
513,99,Dagostino,USA,0,0,0,,,0,2022
514,99,Gasman,USA,0,0,0,,,0,2022
515,99,Briggs,USA,0,0,0,,,0,2022
516,99,Valchinov,BUL,0,0,0,,,0,2022
517,99,M. Ivanov,BUL,0,0,0,,,0,2022
518,99,Pekovic,SRB,0,0,0,,,0,2022
519,99,Koprivica,SRB,0,0,0,,,0,2022
520,99,Rudić,SRB,0,0,0,,,0,2022
521,99,Elser,CAN,0,0,0,,,0,2022
522,99,Lui,CAN,0,0,0,,,0,2022
523,99,Zenger,GER,0,0,0,,,0,2022
524,99,Goralik,GER,0,0,0,,,0,2022
525,99,Ogawa,JPN,0,0,0,,,0,2022
526,99,Yamamoto,JPN,0,0,0,,,0,2022
527,99,Ottevanger,NED,0,0,0,,,0,2022
528,99,Van Solkema,NED,0,0,1,0.00,0.00,1,2022
529,99,Andringa,NED,0,0,0,,,0,2022
530,99,Maique,BRA,0,0,0,,,0,2022
531,99,Thales,BRA,0,0,0,,,0,2022
532,99,Victor,BRA,0,1,0,0.00,0.00,1,2022
533,99,Holland,AUS,0,0,0,,,0,2022
534,99,Perry,AUS,0,0,0,,,0,2022
535,99,McAinsh,AUS,0,0,0,,,0,2022
536,99,Popiwczak,POL,0,0,0,,,0,2022
537,99,Szymura,POL,0,0,0,,,0,2022
538,99,Danani,ARG,0,0,0,,,0,2022
539,99,Massimino,ARG,0,0,0,,,0,2022
540,99,Mouiel,FRA,0,0,0,,,0,2022
541,99,Diez,FRA,0,0,0,,,0,2022
542,99,Gueye,FRA,0,0,0,,,0,2022
543,99,Falaschi,ITA,0,0,0,,,0,2022
544,99,Gardini,ITA,0,1,7,0.00,0.00,8,2022
545,99,Gironi,ITA,0,0,0,,,0,2022
546,99,Piccinelli,ITA,0,0,0,,,0,2022
547,99,Scanferla,ITA,0,0,0,,,0,2022
548,99,V. Ivanov,BUL,0,0,0,,,0,2022
549,99,Petkov,BUL,0,0,0,,,0,2022
550,99,Graven,GER,0,0,0,,,0,2022
551,99,Röhrs,GER,0,1,3,0.00,0.00,4,2022
552,99,Ricci,ITA,0,0,0,,,0,2022
553,99,Cavuto,ITA,0,0,0,,,0,2022
554,99,Balaso,ITA,0,0,0,,,0,2022
555,99,Sbertoli,ITA,0,0,0,,,0,2022
556,99,Łomacz,POL,0,0,0,,,0,2022
557,99,Zatorski,POL,0,0,0,,,0,2022
558,99,E. Shoji,USA,0,0,0,,,0,2022
559,99,Toniutti,FRA,0,0,1,0.00,0.00,1,2022
560,99,Gholipour,IRI,0,0,0,,,0,2022
561,99,Fazel,IRI,0,0,1,0.00,0.00,1,2022
562,99,Leonardo,BRA,0,0,0,,,0,2022
563,99,Honorato,BRA,0,0,0,,,0,2022
564,99,Phillips,AUS,0,0,0,,,0,2022
565,99,Bleeker,NED,0,0,0,,,0,2022
566,99,De Weijer,NED,0,0,0,,,0,2022
567,99,Grebennikov,FRA,0,0,0,,,0,2022
568,1,Ishikawa,JPN,237,56,155,15.80,52.90,448,2023
569,2,Romanò,ITA,185,64,167,12.33,44.47,416,2023
570,3,Nimir,NED,184,66,105,15.33,51.83,355,2023
571,4,Herrera,CUB,180,83,87,15.00,51.43,350,2023
572,5,Ran,JPN,173,46,94,11.53,55.27,313,2023
573,6,Luburić,SRB,172,62,118,14.33,48.86,352,2023
574,7,Urnaut,SLO,164,47,138,12.62,46.99,349,2023
575,8,Zhang J.Y.,CHN,162,60,112,13.50,48.50,334,2023
576,8,Alan,BRA,162,40,106,12.46,52.60,308,2023
577,9,Lucarelli,BRA,154,51,107,11.85,49.36,312,2023
578,10,Palonsky,ARG,151,42,113,11.62,49.35,306,2023
579,11,Lopez,CUB,148,49,97,12.33,50.34,294,2023
580,12,Čebulj,SLO,145,54,127,11.15,44.48,326,2023
581,13,Defalco,USA,143,45,91,9.53,51.25,279,2023
582,14,Možič,SLO,140,31,118,10.77,48.44,289,2023
583,15,Anderson,USA,136,35,97,9.07,50.75,268,2023
584,16,Weber,GER,125,53,66,10.42,51.23,244,2023
585,17,Kujundžić,SRB,124,39,92,10.33,48.63,255,2023
586,18,Nishida,JPN,119,50,70,8.50,49.79,239,2023
587,18,Lima B.,ARG,119,34,73,9.15,52.65,226,2023
588,19,Maar,CAN,117,41,124,9.75,41.49,282,2023
589,20,Miyaura,JPN,116,42,50,7.73,55.77,208,2023
590,21,Michieletto,ITA,115,25,90,10.45,50.00,230,2023
591,22,A. Nikolov,BUL,114,25,86,14.25,50.67,225,2023
592,22,Sclater,CAN,114,35,93,9.50,47.11,242,2023
593,23,Vicentin,ARG,112,47,131,8.62,38.62,290,2023
594,24,Leon,POL,109,23,86,9.91,50.00,218,2023
595,25,Lavia,ITA,108,22,140,9.82,40.00,270,2023
596,26,Reichert,GER,104,43,91,8.67,43.70,238,2023
597,27,Loser Bruno,ARG,103,11,47,7.92,63.98,161,2023
598,27,Van Garderen,NED,103,37,90,8.58,44.78,230,2023
599,28,Atanasov,BUL,100,33,69,8.33,49.50,202,2023
600,29,Amin,IRI,96,31,69,12.00,48.98,196,2023
601,30,Jiang C.,CHN,94,50,67,7.83,44.55,211,2023
602,31,Brehme,GER,93,17,42,7.75,61.18,152,2023
603,32,Tillie,FRA,86,35,67,9.56,45.74,188,2023
604,32,Clevenot,FRA,86,23,82,9.56,45.03,191,2023
605,33,Yant,CUB,85,26,69,7.08,47.22,180,2023
606,34,Morteza,IRI,84,30,67,7.64,46.41,181,2023
607,34,Hoag,CAN,84,31,84,7.00,42.21,199,2023
608,34,Russell,USA,84,24,77,6.00,45.41,185,2023
609,35,Yu Y.T.,CHN,83,23,57,6.92,50.92,163,2023
610,36,Kukartsev,ARG,81,30,77,6.23,43.09,188,2023
611,37,Szwarc,CAN,80,33,46,6.67,50.31,159,2023
612,37,Jaeschke,USA,80,20,71,7.27,46.78,171,2023
613,38,Onodera,JPN,78,9,44,5.20,59.54,131,2023
614,39,Honorato,BRA,77,31,75,5.92,42.08,183,2023
615,40,Kurek,POL,76,30,54,6.91,47.50,160,2023
616,41,Kaczmarek,POL,74,11,47,10.57,56.06,132,2023
617,41,Śliwka,POL,74,12,43,10.57,57.36,129,2023
618,42,Asparuhov,BUL,71,22,68,5.92,44.10,161,2023
619,43,Chinenyeze,FRA,70,12,33,7.78,60.87,115,2023
620,44,Dimitrov,BUL,69,37,80,5.75,37.10,186,2023
621,44,Tuinstra,NED,69,34,58,5.75,42.86,161,2023
622,45,Carle,FRA,68,21,52,5.23,48.23,141,2023
623,45,Patry,FRA,68,21,61,7.56,45.33,150,2023
624,46,Concepcion,CUB,67,13,29,5.58,61.47,109,2023
625,47,Pajenk,SLO,66,10,40,5.08,56.90,116,2023
626,48,Krsmanović,SRB,64,14,26,5.33,61.54,104,2023
627,49,Perić,SRB,62,23,62,5.17,42.18,147,2023
628,50,Nedeljković,SRB,61,6,27,5.08,64.89,94,2023
629,50,Faure,FRA,61,24,38,15.25,49.59,123,2023
630,51,Bultor,FRA,59,6,23,4.54,67.05,88,2023
631,51,Russo,ITA,59,9,33,5.36,58.42,101,2023
632,52,Yamauchi,JPN,58,13,38,3.87,53.21,109,2023
633,52,Ivović,SRB,58,28,64,7.25,38.67,150,2023
634,53,Demyanenko,CAN,57,11,24,4.75,61.96,92,2023
635,53,Plak,NED,57,13,39,4.75,52.29,109,2023
636,53,Boyer,FRA,57,18,49,6.33,45.97,124,2023
637,54,Bieniek,POL,56,12,29,5.09,57.73,97,2023
638,54,Flavio,BRA,56,7,28,4.31,61.54,91,2023
639,55,Poriya,IRI,55,21,36,5.50,49.11,112,2023
640,55,Kozamernik,SLO,55,8,34,4.23,56.70,97,2023
641,56,Szalpuk,POL,54,21,37,6.75,48.21,112,2023
642,57,Grozdanov,BUL,53,14,30,4.42,54.64,97,2023
643,57,Seyed,IRI,53,18,31,4.42,51.96,102,2023
644,57,Holt,USA,53,7,23,3.53,63.86,83,2023
645,58,Hajipour,IRI,52,25,45,4.73,42.62,122,2023
646,59,Zhai D.J.,CHN,50,28,61,4.17,35.97,139,2023
647,60,Li Y.Z.,CHN,49,9,23,4.08,60.49,81,2023
648,61,Esfandiar,IRI,48,28,55,4.00,36.64,131,2023
649,62,Rinaldi,ITA,47,15,47,3.13,43.12,109,2023
650,62,Masso,CUB,47,16,18,3.92,58.02,81,2023
651,62,Otávio,BRA,47,5,18,3.62,67.14,70,2023
652,63,Peng S.K.,CHN,46,11,29,3.83,53.49,86,2023
653,63,Mohammad,IRI,46,9,27,3.83,56.10,82,2023
654,63,Semeniuk,POL,46,15,44,4.18,43.81,105,2023
655,63,Ter Maat,NED,46,17,21,5.75,54.76,84,2023
656,63,Galassi,ITA,46,4,28,4.18,58.97,78,2023
657,64,Judson,BRA,45,4,13,3.46,72.58,62,2023
658,64,Kochanowski,POL,45,2,17,4.09,70.31,64,2023
659,65,Z. Štern,SLO,44,7,35,3.38,51.16,86,2023
660,66,Averill,USA,43,2,15,2.87,71.67,60,2023
661,67,Kolev,BUL,41,5,19,3.42,63.08,65,2023
662,67,Smith,USA,41,6,26,2.73,56.16,73,2023
663,67,Böhme,GER,41,13,34,3.42,46.59,88,2023
664,68,Zerba,ARG,40,4,31,3.08,53.33,75,2023
665,68,Röhrs,GER,40,16,27,5.00,48.19,83,2023
666,68,Krick,GER,40,9,17,3.33,60.61,66,2023
667,68,Bednorz,POL,40,13,32,3.64,47.06,85,2023
668,69,Huber,POL,39,8,18,3.55,60.00,65,2023
669,70,Bottolo,ITA,37,13,24,3.36,50.00,74,2023
670,71,Karyagin,BUL,36,9,37,3.00,43.90,82,2023
671,72,Mergarejo,CUB,34,11,49,2.83,36.17,94,2023
672,72,Jorna,NED,34,23,50,2.83,31.78,107,2023
673,72,Wiltenburg,NED,34,5,20,2.83,57.63,59,2023
674,73,Abouba,BRA,33,10,19,8.25,53.23,62,2023
675,73,Louati,FRA,33,14,41,3.67,37.50,88,2023
676,73,Saadat,IRI,33,16,23,8.25,45.83,72,2023
677,74,Butryn,POL,32,16,24,8.00,44.44,72,2023
678,74,Lucas,BRA,32,7,26,3.56,49.23,65,2023
679,74,Roque,BRA,32,5,17,3.56,59.26,54,2023
680,75,Eshenko,CAN,31,3,16,2.58,62.00,50,2023
681,75,Otsuka,JPN,31,9,27,2.21,46.27,67,2023
682,76,Van Berkel,CAN,30,3,23,2.50,53.57,56,2023
683,76,Jendryk,USA,30,1,23,2.00,55.56,54,2023
684,76,Adriano,BRA,30,13,30,2.31,41.10,73,2023
685,76,Brand,GER,30,9,26,2.50,46.15,65,2023
686,76,Fornal,POL,30,9,29,4.29,44.12,68,2023
687,77,Muagututia,USA,28,7,23,2.55,48.28,58,2023
688,77,Fromm,GER,28,11,19,7.00,48.28,58,2023
689,78,Kłos,POL,27,1,14,3.38,64.29,42,2023
690,78,Hanes,USA,27,12,24,2.45,42.86,63,2023
691,78,Giannelli,ITA,27,6,15,2.45,56.25,48,2023
692,79,Dulski,POL,26,9,14,6.50,53.06,49,2023
693,80,Wang B.,CHN,25,9,13,2.08,53.19,47,2023
694,80,Martinez Franchi,ARG,25,2,38,1.92,38.46,65,2023
695,81,Krage,GER,23,6,12,1.92,56.10,41,2023
696,82,Wang D.C.,CHN,21,6,19,1.75,45.65,46,2023
697,82,Schott,GER,21,17,26,1.75,32.81,64,2023
698,82,Cooper,CAN,21,9,19,2.62,42.86,49,2023
699,83,Jouffroy,FRA,20,7,12,1.54,51.28,39,2023
700,83,Le Goff,FRA,20,3,9,4.00,62.50,32,2023
701,84,Kentaro,JPN,19,2,9,1.27,63.33,30,2023
702,85,Ramos,ARG,18,0,12,1.38,60.00,30,2023
703,85,Hofer,CAN,18,8,24,1.50,36.00,50,2023
704,85,Vucicevic,SRB,18,13,13,1.50,40.91,44,2023
705,86,J.Manavi,IRI,17,9,13,4.25,43.59,39,2023
706,86,Mosca,ITA,17,3,6,1.55,65.38,26,2023
707,86,M. Elser,CAN,17,6,22,1.42,37.78,45,2023
708,87,Shahrooz,IRI,16,3,9,1.33,57.14,28,2023
709,88,Gotsev,BUL,15,4,12,1.25,48.39,31,2023
710,88,Bołądź,POL,15,7,7,3.75,51.72,29,2023
711,89,Gallego,ARG,14,2,14,1.08,46.67,30,2023
712,90,N. Penchev,BUL,13,6,17,1.62,36.11,36,2023
713,90,Javad,IRI,13,0,9,1.08,59.09,22,2023
714,90,Szymanski,POL,13,5,6,3.25,54.17,24,2023
715,90,Anzani,ITA,13,0,4,3.25,76.47,17,2023
716,91,Petkov,BUL,12,1,9,1.00,54.55,22,2023
717,91,Jelveh,IRI,12,3,9,1.00,50.00,24,2023
718,91,Sanguinetti,ITA,12,2,5,1.09,63.16,19,2023
719,91,Keemink,NED,12,0,3,1.00,80.00,15,2023
720,92,Kessel,USA,11,3,3,1.38,64.71,17,2023
721,92,Ter Horst,NED,11,7,11,1.38,37.93,29,2023
722,93,Armoa Morel,ARG,10,6,6,0.77,45.45,22,2023
723,93,Pedroso,CUB,10,5,8,0.83,43.48,23,2023
724,93,Kaliberda,GER,10,9,12,0.83,32.26,31,2023
725,94,Tomita,JPN,9,0,6,0.60,60.00,15,2023
726,94,Gutierrez,CUB,9,0,8,0.75,52.94,17,2023
727,95,Porro P.,ITA,8,0,1,2.00,88.89,9,2023
728,95,Brizard,FRA,8,2,9,0.89,42.11,19,2023
729,96,De Cecco,ARG,7,1,6,0.78,50.00,14,2023
730,96,Katic,SRB,7,7,17,0.88,22.58,31,2023
731,96,Urbanowicz,POL,7,3,3,0.88,53.85,13,2023
732,97,Zhang G.H.,CHN,6,2,5,0.75,46.15,13,2023
733,97,Taboada,CUB,6,4,3,0.50,46.15,13,2023
734,97,Kök,SLO,6,6,7,0.46,31.58,19,2023
735,97,Ropret,SLO,6,2,10,0.46,33.33,18,2023
736,97,Todorović,SRB,6,0,6,0.50,50.00,12,2023
737,97,Christenson,USA,6,2,13,0.40,28.57,21,2023
738,97,Maase,GER,6,1,5,0.75,50.00,12,2023
739,98,Wang H.B.,CHN,5,2,7,0.42,35.71,14,2023
740,98,Recine,ITA,5,4,9,1.25,27.78,18,2023
741,98,Cortesia,ITA,5,1,2,1.25,62.50,8,2023
742,98,Štalekar,SLO,5,1,4,0.38,50.00,10,2023
743,98,Ensing,USA,5,7,5,0.62,29.41,17,2023
744,98,Ma'a,USA,5,1,3,0.45,55.56,9,2023
745,98,Bruno,BRA,5,0,6,0.38,45.45,11,2023
746,98,Arthur,BRA,5,2,2,0.62,55.56,9,2023
747,98,Parkinson,NED,5,1,6,1.25,41.67,12,2023
748,98,Adamczyk,POL,5,2,2,1.25,55.56,9,2023
749,98,V. Bratoev,BUL,5,5,7,1.25,29.41,17,2023
750,99,Gironi,ITA,3,3,7,0.27,23.08,13,2023
751,99,Corre,FRA,3,2,2,0.75,42.86,7,2023
752,99,Mašulović N.,SRB,3,1,2,0.38,50.00,6,2023
753,99,Toniutti,FRA,3,0,1,0.60,75.00,4,2023
754,99,Nishiyama,JPN,3,3,1,1.00,42.86,7,2023
755,100,Seganov,BUL,2,5,8,0.17,13.33,15,2023
756,100,Sekita,JPN,2,0,4,0.13,33.33,6,2023
757,100,Vadi,IRI,2,2,4,0.25,25.00,8,2023
758,100,Herr,CAN,2,1,1,0.17,50.00,4,2023
759,100,Łomacz,POL,2,0,0,0.13,100.00,2,2023
760,100,Sawicki,POL,2,2,3,0.50,28.57,7,2023
761,100,Firlej,POL,2,0,1,0.25,66.67,3,2023
762,100,Korenblek,NED,2,0,0,0.17,100.00,2,2023
763,100,Kampa,GER,2,0,0,0.25,100.00,2,2023
764,100,S.Ivanov,BUL,2,4,4,0.50,20.00,10,2023
765,100,Larry,JPN,2,1,2,0.40,40.00,5,2023
766,100,Leal,BRA,2,0,2,2.00,50.00,4,2023
767,101,Zelayeta,ARG,1,0,0,0.08,100.00,1,2023
768,101,Schnitzer,CAN,1,0,1,0.25,50.00,2,2023
769,101,Thondike,CUB,1,2,8,0.08,9.09,11,2023
770,101,Pothron,FRA,1,2,0,0.12,33.33,3,2023
771,101,Henno,FRA,1,0,1,0.25,50.00,2,2023
772,101,Fernando,BRA,1,0,2,0.08,33.33,3,2023
773,101,Tille,GER,1,2,1,0.08,25.00,4,2023
774,101,Tuaniga,USA,1,0,1,0.25,50.00,2,2023
775,101,Mujanović,SLO,1,0,0,0.11,100.00,1,2023
776,101,Kovačević,SRB,1,7,3,0.25,9.09,11,2023
777,101,A. Ramezani,IRI,1,0,1,0.25,50.00,2,2023
778,101,A. Afshinfar,IRI,1,2,2,0.25,20.00,5,2023
779,102,G. Bratoev,BUL,0,0,0,,,0,2023
780,102,Bozhilov,BUL,0,0,0,,,0,2023
781,102,Dobrev,BUL,0,0,0,,,0,2023
782,102,Guo C.,CHN,0,0,1,0.00,0.00,1,2023
783,102,Liu M.,CHN,0,0,0,,,0,2023
784,102,Chen J.J.,CHN,0,0,0,,,0,2023
785,102,Qu Z.S.,CHN,0,0,0,,,0,2023
786,102,Fukatsu,JPN,0,0,1,0.00,0.00,1,2023
787,102,Ogawa,JPN,0,0,0,,,0,2023
788,102,Yamamoto,JPN,0,0,0,,,0,2023
789,102,Kai,JPN,0,0,0,,,0,2023
790,102,Hazrat,IRI,0,0,0,,,0,2023
791,102,Arman,IRI,0,0,0,,,0,2023
792,102,Falaschi,ITA,0,0,0,,,0,2023
793,102,Balaso,ITA,0,0,0,,,0,2023
794,102,Gardini,ITA,0,0,0,,,0,2023
795,102,Vitelli,ITA,0,1,3,0.00,0.00,4,2023
796,102,Federici,ITA,0,0,0,,,0,2023
797,102,Sanchez Pages,ARG,0,0,1,0.00,0.00,1,2023
798,102,Danani,ARG,0,0,0,,,0,2023
799,102,Blankenau,CAN,0,0,1,0.00,0.00,1,2023
800,102,Lui,CAN,0,0,0,,,0,2023
801,102,Currie,CAN,0,0,0,,,0,2023
802,102,Roman Garcia,CUB,0,0,0,,,0,2023
803,102,Goide,CUB,0,0,0,,,0,2023
804,102,J. Gutierrez,CUB,0,1,1,0.00,0.00,2,2023
805,102,Gorguet,CUB,0,0,0,,,0,2023
806,102,Planinšič,SLO,0,0,2,0.00,0.00,2,2023
807,102,Toman,SLO,0,0,0,,,0,2023
808,102,Bračko,SLO,0,0,0,,,0,2023
809,102,Koncilja,SLO,0,0,0,,,0,2023
810,102,Kovačič,SLO,0,0,0,,,0,2023
811,102,Kapur,SRB,0,0,0,,,0,2023
812,102,Mašulović V.,SRB,0,0,2,0.00,0.00,2,2023
813,102,Batak,SRB,0,0,1,0.00,0.00,1,2023
814,102,Gajović,SRB,0,0,0,,,0,2023
815,102,Krsteski,SRB,0,0,0,,,0,2023
816,102,Petrović,SRB,0,1,0,0.00,0.00,1,2023
817,102,Szymura,POL,0,0,0,,,0,2023
818,102,Hawryluk,POL,0,0,0,,,0,2023
819,102,Poręba,POL,0,0,0,,,0,2023
820,102,Motta Paes,FRA,0,0,0,,,0,2023
821,102,Henry,FRA,0,0,0,,,0,2023
822,102,Diez,FRA,0,0,0,,,0,2023
823,102,Basic,FRA,0,0,0,,,0,2023
824,102,Loubeyre,FRA,0,0,0,,,0,2023
825,102,Roehrig,FRA,0,0,0,,,0,2023
826,102,E. Shoji,USA,0,0,0,,,0,2023
827,102,Van Der Ent,NED,0,0,0,,,0,2023
828,102,Meijs,NED,0,1,2,0.00,0.00,3,2023
829,102,Andringa,NED,0,0,0,,,0,2023
830,102,Bak,NED,0,0,0,,,0,2023
831,102,Wijkstra,NED,0,1,1,0.00,0.00,2,2023
832,102,Lipke,NED,0,0,0,,,0,2023
833,102,Maique,BRA,0,0,0,,,0,2023
834,102,Thales,BRA,0,0,0,,,0,2023
835,102,Thiery,BRA,0,0,0,,,0,2023
836,102,Graven,GER,0,0,0,,,0,2023
837,102,Walsh,CAN,0,0,0,,,0,2023
838,102,Salehi,IRI,0,1,1,0.00,0.00,2,2023
839,102,Zimmermann,GER,0,0,0,,,0,2023
840,102,Günthör,GER,0,0,0,,,0,2023
841,102,Dagostino,USA,0,0,0,,,0,2023
842,102,Giraudo,ARG,0,1,0,0.00,0.00,1,2023
843,102,Yang Y.M.,CHN,0,0,0,,,0,2023
844,102,Chen L.Y.,CHN,0,0,0,,,0,2023
845,102,Salparov,BUL,0,0,0,,,0,2023
846,102,Raev,BUL,0,0,0,,,0,2023
847,102,Sbertoli,ITA,0,0,0,,,0,2023
848,102,Scanferla,ITA,0,0,0,,,0,2023
849,102,Caneschi,ITA,0,0,0,,,0,2023
850,102,Magalini,ITA,0,0,1,0.00,0.00,1,2023
851,102,Zatorski,POL,0,0,0,,,0,2023
852,102,Grebennikov,FRA,0,0,0,,,0,2023
853,102,Huetz,FRA,0,0,0,,,0,2023
854,102,Vaccari,BRA,0,0,1,0.00,0.00,1,2023
855,102,Piccinelli,ITA,0,0,0,,,0,2023
856,102,Sala,ITA,0,0,1,0.00,0.00,1,2023
857,102,Eiro,JPN,0,0,0,,,0,2023
858,102,Rao S.H.,CHN,0,0,0,,,0,2023
859,102,Podraščanin,SRB,0,0,0,,,0,2023
860,102,M.R.Moazzen,IRI,0,0,0,,,0,2023
861,102,Popiwczak,POL,0,0,0,,,0,2023
862,102,Janusz,POL,0,0,2,0.00,0.00,2,2023
863,102,K. Russell,USA,0,0,0,,,0,2023
864,102,Daneshdoust,IRI,0,0,0,,,0,2023
865,1,T. Štern,SLO,265,68,153,17.67,54.53,486,2024
866,2,Nimir,NED,235,81,138,19.58,51.76,454,2024
867,3,Maar,CAN,194,59,150,14.92,48.14,403,2024
868,4,Čebulj,SLO,179,63,149,11.93,45.78,391,2024
869,5,Yant,CUB,167,49,98,13.92,53.18,314,2024
870,5,Amin,IRI,167,49,121,13.92,49.55,337,2024
871,6,Patry,FRA,164,41,123,10.93,50.00,328,2024
872,7,Loeppky,CAN,157,37,145,12.08,46.31,339,2024
873,8,Nishida,JPN,156,41,88,10.40,54.74,285,2024
874,9,Ishikawa,JPN,155,49,96,14.09,51.67,300,2024
