,Rank,Player Name,Team,Successful,Errors,Attempts,Average per match,Success %,Total,Year
97,44,Sobolska,POL,0,1,3,0.00,0.00,4,2021
98,44,De Valkeneer,BEL,0,0,1,0.00,0.00,1,2021
99,44,Van Avermaet,BEL,0,0,10,0.00,0.00,10,2021
100,44,Stragier,BEL,0,0,3,0.00,0.00,3,2021
101,44,İvegin,TUR,0,0,6,0.00,0.00,6,2021
102,44,Ercan,TUR,0,0,4,0.00,0.00,4,2021
103,44,Akman,TUR,0,0,14,0.00,0.00,14,2021
104,44,Baladın,TUR,0,0,16,0.00,0.00,16,2021
105,44,Güveli,TUR,0,0,1,0.00,0.00,1,2021
106,44,Diken,TUR,0,0,19,0.00,0.00,19,2021
107,44,Aykaç,TUR,0,0,16,0.00,0.00,16,2021
108,44,Erdem,TUR,0,1,32,0.00,0.00,33,2021
109,44,Kalaç,TUR,0,0,3,0.00,0.00,3,2021
110,44,Caric,SRB,0,0,15,0.00,0.00,15,2021
111,44,Uzelac,SRB,0,1,9,0.00,0.00,10,2021
112,44,Kocic,SRB,0,0,16,0.00,0.00,16,2021
113,44,Lozo,SRB,0,0,45,0.00,0.00,45,2021
114,44,Medic,SRB,0,0,7,0.00,0.00,7,2021
115,44,Markovic,SRB,0,0,3,0.00,0.00,3,2021
116,44,Savic,SRB,0,0,4,0.00,0.00,4,2021
117,44,Delic,SRB,0,0,3,0.00,0.00,3,2021
118,44,Djurdjevic,SRB,0,0,60,0.00,0.00,60,2021
119,44,Gocanin,SRB,0,1,34,0.00,0.00,35,2021
120,44,Mirosavljevic,SRB,0,0,16,0.00,0.00,16,2021
121,44,Bock,GER,0,0,7,0.00,0.00,7,2021
122,44,Poll,GER,0,0,5,0.00,0.00,5,2021
123,44,Janiska,GER,0,0,2,0.00,0.00,2,2021
124,44,Vanjak,GER,0,0,2,0.00,0.00,2,2021
125,44,Orthmann,GER,0,2,9,0.00,0.00,11,2021
126,44,Schölzel,GER,0,1,10,0.00,0.00,11,2021
127,44,Ambrosius,GER,0,0,1,0.00,0.00,1,2021
128,44,"Bock, J.",GER,0,0,0,,,0,2021
129,44,Malygina,RUS,0,0,1,0.00,0.00,1,2021
130,44,Pilipenko,RUS,0,0,60,0.00,0.00,60,2021
131,44,Fedorovtseva,RUS,0,2,16,0.00,0.00,18,2021
132,44,Koroleva,RUS,0,1,10,0.00,0.00,11,2021
133,44,Goncharova,RUS,0,1,21,0.00,0.00,22,2021
134,44,Brovkina,RUS,0,0,4,0.00,0.00,4,2021
135,44,Fetisova,RUS,0,1,20,0.00,0.00,21,2021
136,44,Kosheleva,RUS,0,1,7,0.00,0.00,8,2021
137,44,Voronkova,RUS,0,0,20,0.00,0.00,20,2021
138,44,Zaytseva,RUS,0,0,19,0.00,0.00,19,2021
139,44,Kapustina,RUS,0,1,2,0.00,0.00,3,2021
140,44,Smirnova,RUS,0,1,3,0.00,0.00,4,2021
141,44,Koga,JPN,0,0,25,0.00,0.00,25,2021
142,44,Araki,JPN,0,1,14,0.00,0.00,15,2021
143,44,Ishii,JPN,0,0,8,0.00,0.00,8,2021
144,44,Ishikawa,JPN,0,0,29,0.00,0.00,29,2021
145,44,Okumura,JPN,0,0,5,0.00,0.00,5,2021
146,44,Inoue,JPN,0,0,46,0.00,0.00,46,2021
147,44,Yamada,JPN,0,0,2,0.00,0.00,2,2021
148,44,Hayashi,JPN,0,0,6,0.00,0.00,6,2021
149,44,P. Piyanut,THA,0,0,85,0.00,0.00,85,2021
