,Rank,Player Name,Team,Points,Errors,Attempts,Average per match,Success %,Total,Year
651,58,Plak,NED,48,10,49,6.00,44.86,107,2023
652,59,Mazzaro,ITA,47,5,32,3.62,55.95,84,2023
653,60,S. Wipawee,THA,45,24,58,3.75,35.43,127,2023
654,61,Diana,BRA,43,12,16,3.31,60.56,71,2023
655,62,Rettke,USA,42,5,35,3.82,51.22,82,2023
656,63,Mitrovic,CAN,41,21,66,3.42,32.03,128,2023
657,63,Strunjak,CRO,41,12,54,3.42,38.32,107,2023
658,64,Popović M.,SRB,40,6,28,5.00,54.05,74,2023
659,65,Timmerman,NED,39,9,33,3.25,48.15,81,2023
660,66,Juah,KOR,38,7,46,3.17,41.76,91,2023
661,67,O'Neal,USA,37,6,30,3.36,50.68,73,2023
662,68,Weske,GER,35,15,33,3.89,42.17,83,2023
663,69,Butler,USA,34,2,21,2.83,59.65,57,2023
664,70,B. Hattaya,THA,33,12,46,2.75,36.26,91,2023
665,70,White,CAN,33,12,42,2.75,37.93,87,2023
666,70,Seungju,KOR,33,20,56,2.75,30.28,109,2023
667,70,Jiyun M.,KOR,33,27,39,2.75,33.33,99,2023
668,71,Lazović,SRB,32,12,42,2.67,37.21,86,2023
669,71,Cuttino,USA,32,11,46,4.00,35.96,89,2023
670,71,Dahyeon,KOR,32,10,44,2.67,37.21,86,2023
671,72,Nikolova M.,BUL,31,27,35,2.58,33.33,93,2023
672,72,Jeongah,KOR,31,25,77,2.58,23.31,133,2023
673,73,Washington,USA,30,8,22,2.73,50.00,60,2023
674,74,S. Thanacha,THA,28,12,39,2.33,35.44,79,2023
675,75,Van Buskirk,CAN,27,11,14,2.25,51.92,52,2023
676,75,Pri Daroit,BRA,27,14,46,3.00,31.03,87,2023
677,76,Gałkowska,POL,26,10,35,1.73,36.62,71,2023
678,77,Eve,DOM,24,8,19,2.00,47.06,51,2023
679,77,D'Odorico,ITA,24,8,26,1.85,41.38,58,2023
680,77,Lorrayna,BRA,24,9,29,3.00,38.71,62,2023
681,77,Hancock,USA,24,7,11,1.60,57.14,42,2023
682,77,Hall,USA,24,8,9,3.00,58.54,41,2023
683,78,Gonzalez,DOM,23,9,31,1.92,36.51,63,2023
684,78,Squarcini,ITA,23,11,20,1.77,42.59,54,2023
685,78,Nagaoka,JPN,23,8,36,4.60,34.33,67,2023
686,79,Hoyoung,KOR,22,8,23,1.83,41.51,53,2023
687,80,Lohuis,NED,21,1,25,2.62,44.68,47,2023
688,80,Fabris,CRO,21,25,43,5.25,23.60,89,2023
689,81,Malual,ITA,20,16,21,1.54,35.09,57,2023
690,81,Zheng Y.X.,CHN,20,4,17,1.33,48.78,41,2023
691,81,Jones-Perry,USA,20,8,20,5.00,41.67,48,2023
692,81,Mlinar,CRO,20,16,36,2.50,27.78,72,2023
693,81,Bajema,USA,20,8,29,5.00,35.09,57,2023
694,81,Airi,JPN,20,3,29,4.00,38.46,52,2023
695,82,Strubbe,GER,19,9,27,1.46,34.55,55,2023
696,82,E. Şahin,TUR,19,4,17,1.27,47.50,40,2023
697,83,Brie,CAN,18,6,19,1.50,41.86,43,2023
698,84,B. Saykova,BUL,16,4,24,1.33,36.36,44,2023
699,84,Kalaç,TUR,16,4,15,1.07,45.71,35,2023
700,84,Scholten,NED,16,10,18,2.00,36.36,44,2023
701,85,Irisawa,JPN,15,12,16,1.15,34.88,43,2023
702,85,Miyoun,KOR,15,11,18,1.67,34.09,44,2023
703,86,Pacak,POL,14,1,7,0.93,63.64,22,2023
704,86,Eunjin,KOR,14,7,18,1.75,35.90,39,2023
705,86,Ogbogu,USA,14,3,4,4.67,66.67,21,2023
706,87,Stautz,GER,13,7,25,1.00,28.89,45,2023
707,87,Joseph,CAN,13,5,19,1.08,35.14,37,2023
708,87,Marković,CRO,13,11,33,1.08,22.81,57,2023
709,87,Nikolova S.,BUL,13,12,21,1.08,28.26,46,2023
710,87,Tainara,BRA,13,6,10,2.60,44.83,29,2023
